;;;;;kV;;;;;kV;A;A;;;MW;MVar;A;%;MW;MVar;A;%;;MW;MVar;A;%;MW;MVar;A;%;;MW;MVar;A;%;MW;MVar;A;%;%;;MW;MVar;A;%;
string;string;string;string;string;double;string;string;string;string;double;double;double;string;string;double;double;double;double;double;double;double;double;string;double;double;double;double;double;double;double;double;string;double;double;double;double;double;double;double;double;double;string;double;double;double;double;
L_8R_16;;Netzgruppe_Default;Standort_8;1;10.0;; Netzgruppe_Default; Standort_109; 1;10.0;319.0;319.0;1;;-0.3;-0.0;19.1;6.0;0;0;0;0;;-0.3;-0.0;19.1;6.0;0;0;0;0;;-0.3;-0.0;19.1;6.0;0;0;0;0;0;;0;0;0;0;
Trafo_8;;Netzgruppe_Default;Standort_8;1;10.0;; Netzgruppe_Default; Standort_8; 1;0.4;;;1;;0.2;0.0;9.5;41.3;0;0;0;0;;0.2;0.0;9.5;41.3;0;0;0;0;;0.2;0.0;9.5;41.3;0;0;0;0;0;;0;0;0;0;
Trafo_8_par;;Netzgruppe_Default;Standort_8;1;10.0;; Netzgruppe_Default; Standort_8; 1;0.4;;;1;;0.2;0.0;9.5;41.3;0;0;0;0;;0.2;0.0;9.5;41.3;0;0;0;0;;0.2;0.0;9.5;41.3;0;0;0;0;0;;0;0;0;0;
L_0R_22;;Netzgruppe_Default;Standort_0;1;10.0;; Netzgruppe_Default; Standort_78; 1;10.0;319.0;319.0;1;;1.8;0.0;103.7;32.5;0;0;0;0;;1.8;0.0;103.7;32.5;0;0;0;0;;1.8;0.0;103.7;32.5;0;0;0;0;0;;0;0;0;0;
L_78R_22;;Netzgruppe_Default;Standort_78;1;10.0;; Netzgruppe_Default; Standort_58; 1;10.0;319.0;319.0;1;;1.7;0.0;100.4;31.5;0;0;0;0;;1.7;0.0;100.4;31.5;0;0;0;0;;1.7;0.0;100.4;31.5;0;0;0;0;0;;0;0;0;0;
L_58R_22;;Netzgruppe_Default;Standort_58;1;10.0;; Netzgruppe_Default; Standort_24; 1;10.0;319.0;319.0;1;;1.6;0.0;91.3;28.6;0;0;0;0;;1.6;0.0;91.3;28.6;0;0;0;0;;1.6;0.0;91.3;28.6;0;0;0;0;0;;0;0;0;0;
Trafo_24;;Netzgruppe_Default;Standort_24;1;10.0;; Netzgruppe_Default; Standort_24; 1;0.4;;;1;;0.5;0.0;26.2;72.1;0;0;0;0;;0.5;0.0;26.2;72.1;0;0;0;0;;0.5;0.0;26.2;72.1;0;0;0;0;0;;0;0;0;0;
Trafo_24_par;;Netzgruppe_Default;Standort_24;1;10.0;; Netzgruppe_Default; Standort_24; 1;0.4;;;1;;0.5;0.0;26.2;72.1;0;0;0;0;;0.5;0.0;26.2;72.1;0;0;0;0;;0.5;0.0;26.2;72.1;0;0;0;0;0;;0;0;0;0;
L_24R_22;;Netzgruppe_Default;Standort_24;1;10.0;; Netzgruppe_Default; Standort_23; 1;10.0;319.0;319.0;1;;0.6;0.0;32.0;10.0;0;0;0;0;;0.6;0.0;32.0;10.0;0;0;0;0;;0.6;0.0;32.0;10.0;0;0;0;0;0;;0;0;0;0;
Trafo_23;;Netzgruppe_Default;Standort_23;1;10.0;; Netzgruppe_Default; Standort_23; 1;0.4;;;1;;0.3;0.0;16.0;69.3;0;0;0;0;;0.3;0.0;16.0;69.3;0;0;0;0;;0.3;0.0;16.0;69.3;0;0;0;0;0;;0;0;0;0;
Trafo_23_par;;Netzgruppe_Default;Standort_23;1;10.0;; Netzgruppe_Default; Standort_23; 1;0.4;;;1;;0.3;0.0;16.0;69.3;0;0;0;0;;0.3;0.0;16.0;69.3;0;0;0;0;;0.3;0.0;16.0;69.3;0;0;0;0;0;;0;0;0;0;
L_23R_22;;Netzgruppe_Default;Standort_24;1;10.0;; Netzgruppe_Default; Standort_31; 1;10.0;319.0;319.0;1;;0.1;-0.0;6.9;2.1;0;0;0;0;;0.1;-0.0;6.9;2.1;0;0;0;0;;0.1;-0.0;6.9;2.1;0;0;0;0;0;;0;0;0;0;
L_31R_22;;Netzgruppe_Default;Standort_31;1;10.0;; Netzgruppe_Default; Standort_46; 1;10.0;319.0;319.0;1;;0.1;-3.1E-04;5.7;1.8;0;0;0;0;;0.1;-3.1E-04;5.7;1.8;0;0;0;0;;0.1;-3.1E-04;5.7;1.8;0;0;0;0;0;;0;0;0;0;
Trafo_46;;Netzgruppe_Default;Standort_46;1;10.0;; Netzgruppe_Default; Standort_46; 1;0.4;;;1;;0.0;0.0;2.8;49.2;0;0;0;0;;0.0;0.0;2.8;49.2;0;0;0;0;;0.0;0.0;2.8;49.2;0;0;0;0;0;;0;0;0;0;
